lat,lon,elevacao_m
-23.2181625,-49.138336,
-23.0895618,-46.4367442,
-22.6169751,-46.5228855,
-22.6245304,-48.2149409,
-23.1774579,-46.4437014,
-22.7431286,-46.5547436,
-22.9073639,-46.4282628,
-23.1735861,-46.4412105,
-23.0827296,-46.415366,
-23.2101266,-48.9795669,
-22.7424807,-46.5591283,
-23.2416913,-47.9617113,
-22.7391472,-46.6003979,
-23.0944742,-46.4381324,
-23.472613,-47.6966928,
-23.1950901,-48.2565865,
-22.5801941,-46.5187731,
-23.4697643,-47.6935096,
-22.7451094,-46.5621947,
-22.6272954,-46.5419598,
-22.5520018,-46.5290539,
-23.1945132,-48.9396901,
-23.1781458,-46.4293565,
-23.061057,-48.9552336,
-22.7452664,-46.5555127,
-23.4859007,-47.7262626,
-22.7602997,-46.6388913,
-23.1931013,-48.2546883,
-22.7476685,-46.5694166,
-22.7568285,-46.5641176,
-22.8549233,-49.2292374,
-22.7502187,-46.6101023,
-22.7422802,-46.5787937,
-22.7600674,-46.5728182,
-23.0494813,-46.3505246,
-23.2117056,-49.0079084,
-22.4108498,-49.4158469,
-23.1958448,-48.9473392,
-23.059439,-46.3407997,
-23.4208218,-47.7204188,
-22.737145,-50.5808735,
-23.1978363,-48.9581078,
-22.7813855,-46.5644434,
-23.4656452,-47.6955635,
-23.2086135,-48.9790347,
-23.4179063,-47.7042608,
-22.7823771,-46.5783854,
-22.7401693,-46.5785664,
-23.4610261,-47.6839429,
-23.399414,-49.5091002,
-22.5678706,-46.5214504,
-22.7438649,-46.574303,
-22.8397591,-49.2305026,
-23.2080189,-49.1334493,
-23.4674907,-47.7623476,
-22.9201019,-47.9087933,
-23.2266676,-49.0930879,
-23.2153357,-48.9986291,
-22.8397417,-49.2285923,
-22.7453539,-46.5745454,
-23.2024403,-48.9635212,
-23.094959,-46.432792,
-22.942178,-46.2379194,
-23.2393781,-48.1698051,
-23.076555,-46.3944843,
-23.206151,-48.9773457,
-23.2169572,-48.9652283,
-23.4778896,-47.6830587,
-22.9419514,-46.2349345,
-23.1285958,-49.4426689,
-22.747649,-46.611132,
-23.1971037,-48.9545384,
-22.7466941,-46.5702231,
-22.7411497,-46.5626339,
-23.2163961,-49.1009873,
-23.0507236,-46.3510949,
-21.7909729,-50.7995636,
-22.5738965,-46.5320842,
-23.4208454,-47.7149357,
-22.6313108,-46.53578,
-23.0534838,-46.3437347,
-22.7425519,-46.5612686,
-22.840853,-49.2385413,
-22.3367736,-50.394187,
-22.8991493,-46.4286787,
-22.7627442,-46.5590452,
-21.9448838,-50.5257962,
-23.0945259,-46.4357338,
-23.3967131,-49.5156229,
-23.39711,-49.5155408,
-23.0812663,-46.4104536,
-23.4715638,-47.6942941,
-23.3977033,-49.5129296,
-23.0809876,-46.4152247,
-22.7447709,-46.5551637,
-23.3413721,-49.3785533,
-23.0573053,-46.3664434,
-23.0757528,-46.3998629,
-21.9444749,-50.5107234,
-19.9303856,-50.073184,
-21.6913747,-51.0451223,
-23.4013786,-47.6943481,
-22.8388712,-49.2311946,
-23.2091556,-48.9997722,
-23.4744835,-47.6850343,
-22.7492523,-46.5922838,
-23.0579009,-48.9577989,
-22.7883026,-46.5760167,
-20.2503665,-50.2320107,
-22.9344969,-49.4328632,
-23.2101095,-48.9726636,
-23.1813238,-46.4054492,
-23.1025493,-48.9708229,
-22.7442751,-46.5765893,
-22.8526753,-49.2294185,
-23.2433831,-47.8820766,
-23.2291818,-49.0999228,
-23.2302831,-48.9695357,
-23.4856138,-47.728595,
-23.4754995,-47.6873873,
-23.1938534,-48.2554851,
-22.7683715,-46.581142,
-23.4576434,-47.7307919,
-22.6270842,-46.528012,
-23.5903843,-47.8420382,
-23.2098685,-49.006365,
-22.6319507,-46.5337893,
-22.7588145,-46.5741182,
-23.3846093,-49.5218755,
-23.2250503,-47.9662956,
-23.4715172,-47.6955363,
-23.2330671,-47.9636955,
-22.8178212,-46.513734,
-22.7438135,-46.5678025,
-22.5854937,-46.5094735,
-22.6163645,-46.5254694,
-23.4720842,-47.68204,
-23.1686195,-49.0383843,
-22.781644,-49.9326389,
-23.0902929,-46.4310566,
-23.6248664,-47.8238998,
-23.0937648,-46.4311728,
-19.9229269,-50.068329,
-20.2387815,-50.6425576,
-23.0491222,-46.3835117,
-22.7441349,-46.5622481,
-22.6278794,-46.5363837,
-22.7495802,-46.5577878,
-23.5247566,-47.7759454,
-23.1285854,-49.4440829,
-23.0983239,-46.4310284,
-22.5642979,-46.5273015,
-23.2228139,-49.098469,
-22.7544446,-46.5713977,
-23.2529839,-48.9914576,
-23.0957796,-46.4337866,
-23.0823525,-46.4313448,
-22.7650235,-46.5842346,
-22.5811446,-46.5185502,
-23.224922,-48.9717886,
-23.384456,-49.5216957,
-22.7920264,-46.5719233,
-23.1869408,-49.0455951,
-21.9604583,-50.4815902,
-22.6041651,-49.6323717,
-23.1813425,-46.3970071,
-23.0603039,-46.3692623,
-21.9286941,-50.7173057,
-22.9421109,-49.6547532,
-23.3797635,-49.5015917,
-22.8459461,-49.2313318,
-23.4686069,-47.7595494,
-22.7756479,-46.591927,
-22.8984374,-46.4264679,
-22.5972384,-49.6324079,
-23.2209435,-48.9689464,
-22.7992104,-46.5596515,
-22.9288745,-47.9020148,
-22.7619139,-46.596271,
-22.7501057,-46.5712393,
-23.1029716,-48.9584961,
-22.7510944,-46.6106714,
-23.0945258,-46.4286306,
-22.7474621,-46.5834005,
-23.4766666,-47.6906654,
-23.4250998,-47.6980882,
-23.2112561,-49.0047648,
-22.750768,-46.5689785,
-23.4583767,-47.7186855,
-20.2363345,-50.648849,
-23.2259541,-48.9671029,
-23.2604696,-46.4720352,
-23.2326785,-47.9694037,
-22.57727,-46.5338338,
-22.5788463,-46.5240262,
-22.338176,-50.3972201,
-22.741154,-46.5636073,
-22.6330785,-46.5406954,
-20.0142145,-50.794875,
-23.0152127,-47.8445698,
-23.2140828,-49.0036962,
-23.0777318,-46.3954406,
-22.7419454,-46.5538751,
-23.2429156,-48.3056663,
-22.7563115,-46.6002843,
-22.7934916,-46.5719714,
-23.2173396,-49.1390275,
-22.748145,-46.5991157,
-22.7472237,-46.5695755,
-22.8962705,-46.381742,
-23.2182233,-49.099826,
-23.1777362,-46.4281001,
-23.4752762,-47.685391,
-23.0597844,-46.3407409,
-23.4774819,-47.689429,
-22.8716106,-49.1651862,
-23.2055282,-48.995208,
-23.0912088,-46.4361476,
-22.7314928,-46.5607536,
-22.3433123,-50.3950095,
-22.8510354,-49.2352992,
-22.7624075,-46.5679345,
-23.1816029,-46.4063068,
-21.9448054,-50.5108296,
-23.1736704,-46.3774371,
-22.7517285,-46.5999711,
-19.9598598,-50.6103654,
-23.2028615,-47.9592842,
-23.2064879,-48.9948852,
-23.2510031,-48.2033313,
-23.1724914,-46.4506345,
-22.7406384,-46.5625733,
-22.6139534,-46.529123,
-22.7395739,-46.5603292,
-21.9525797,-50.5058914,
-23.2354886,-49.1135736,
-22.8607129,-49.23463,
-22.5747969,-46.5093316,
-22.573266,-46.5151602,
-23.0812209,-46.4149742,
-23.2580487,-48.9958322,
-23.1105176,-46.4541927,
-23.0492673,-46.3482581,
-21.7841885,-50.7823994,
-23.0813794,-46.409227,
-23.2103365,-49.6022539,
-19.923077,-50.0719728,
-23.4002138,-47.6964,
-23.4777643,-47.6945241,
-23.0460538,-46.3484309,
-23.4572237,-47.7392971,
-23.2204957,-49.1041159,
-23.2099165,-48.9967986,
-23.1731919,-46.3827846,
-22.7880859,-46.44256,
